# Size, Precision, Recall, Fscore
10.000000,0.000000,0.000000,0.000000
10.000000,0.000000,0.000000,0.000000
11.000000,0.000000,0.000000,0.000000
12.000000,0.000000,0.000000,0.000000
13.000000,0.000000,0.000000,0.000000
14.000000,0.000000,0.000000,0.000000
15.000000,0.000000,0.000000,0.000000
16.000000,0.000000,0.000000,0.000000
17.000000,0.000000,0.000000,0.000000
18.000000,0.000000,0.000000,0.000000
19.000000,0.000000,0.000000,0.000000
20.000000,0.000000,0.000000,0.000000
21.000000,0.000000,0.000000,0.000000
22.000000,0.000000,0.000000,0.000000
23.000000,0.000000,0.000000,0.000000
24.000000,0.000000,0.000000,0.000000
25.000000,0.000000,0.000000,0.000000
26.000000,0.000000,0.000000,0.000000
27.000000,0.000000,0.000000,0.000000
28.000000,0.000000,0.000000,0.000000
29.000000,0.000000,0.000000,0.000000
30.000000,0.000000,0.000000,0.000000
31.000000,0.000000,0.000000,0.000000
32.000000,0.000000,0.000000,0.000000
33.000000,0.000000,0.000000,0.000000
34.000000,0.000000,0.000000,0.000000
35.000000,0.000000,0.000000,0.000000
36.000000,0.000000,0.000000,0.000000
37.000000,0.000000,0.000000,0.000000
38.000000,0.000000,0.000000,0.000000
39.000000,0.000000,0.000000,0.000000
40.000000,0.000000,0.000000,0.000000
41.000000,0.000000,0.000000,0.000000
42.000000,0.000000,0.000000,0.000000
43.000000,0.000000,0.000000,0.000000
44.000000,0.020000,0.003333,0.005714
45.000000,0.020000,0.003333,0.005714
46.000000,0.080000,0.013333,0.022857
47.000000,0.140000,0.023333,0.040000
48.000000,0.140000,0.023333,0.040000
49.000000,0.140000,0.023333,0.040000
50.000000,0.200000,0.033333,0.057143
51.000000,0.540000,0.090000,0.154286
52.000000,0.520000,0.086667,0.148571
53.000000,0.500000,0.083333,0.142857
54.000000,0.740000,0.123333,0.211429
55.000000,0.860000,0.143333,0.245714
56.000000,0.900000,0.150000,0.257143
57.000000,0.900000,0.150000,0.257143
58.000000,0.940000,0.156667,0.268571
59.000000,0.960000,0.160000,0.274286
60.000000,0.960000,0.160000,0.274286
61.000000,0.960000,0.160000,0.274286
62.000000,0.980000,0.163333,0.280000
63.000000,1.000000,0.166667,0.285714
64.000000,1.000000,0.166667,0.285714
64.000000,1.000000,0.166667,0.285714
65.000000,1.000000,0.166667,0.285714
66.000000,1.000000,0.166667,0.285714
67.000000,1.000000,0.166667,0.285714
68.000000,1.000000,0.166667,0.285714
69.000000,1.000000,0.166667,0.285714
70.000000,1.000000,0.166667,0.285714
71.000000,1.000000,0.166667,0.285714
72.000000,1.000000,0.166667,0.285714
73.000000,1.000000,0.166667,0.285714
74.000000,1.000000,0.166667,0.285714
75.000000,1.000000,0.166667,0.285714
76.000000,1.000000,0.166667,0.285714
77.000000,1.000000,0.166667,0.285714
78.000000,1.000000,0.166667,0.285714
79.000000,1.000000,0.166667,0.285714
80.000000,1.000000,0.166667,0.285714
81.000000,1.000000,0.166667,0.285714
82.000000,1.000000,0.166667,0.285714
83.000000,1.000000,0.166667,0.285714
84.000000,1.000000,0.166667,0.285714
85.000000,1.000000,0.166667,0.285714
86.000000,1.000000,0.166667,0.285714
87.000000,1.000000,0.166667,0.285714
88.000000,1.000000,0.166667,0.285714
89.000000,1.000000,0.166667,0.285714
90.000000,1.000000,0.166667,0.285714
91.000000,1.000000,0.166667,0.285714
92.000000,1.000000,0.166667,0.285714
93.000000,1.000000,0.166667,0.285714
94.000000,1.000000,0.166667,0.285714
95.000000,1.000000,0.166667,0.285714
96.000000,1.000000,0.166667,0.285714
97.000000,1.000000,0.166667,0.285714
98.000000,1.000000,0.166667,0.285714
99.000000,1.000000,0.166667,0.285714
100.000000,1.000000,0.166667,0.285714
101.000000,1.000000,0.166667,0.285714
102.000000,1.000000,0.166667,0.285714
103.000000,1.000000,0.166667,0.285714
104.000000,1.000000,0.166667,0.285714
105.000000,1.000000,0.166667,0.285714
106.000000,1.000000,0.166667,0.285714
107.000000,0.990000,0.166667,0.285000
108.000000,1.000000,0.173333,0.294286
109.000000,1.000000,0.166667,0.285714
110.000000,1.000000,0.166667,0.285714
111.000000,1.000000,0.166667,0.285714
112.000000,0.990000,0.166667,0.285000
113.000000,1.000000,0.166667,0.285714
114.000000,1.000000,0.166667,0.285714
115.000000,1.000000,0.166667,0.285714
116.000000,1.000000,0.166667,0.285714
117.000000,1.000000,0.166667,0.285714
118.000000,1.000000,0.170000,0.290000
118.000000,0.990000,0.166667,0.285000
119.000000,0.990000,0.170000,0.289286
120.000000,1.000000,0.166667,0.285714
121.000000,1.000000,0.166667,0.285714
122.000000,1.000000,0.166667,0.285714
123.000000,1.000000,0.166667,0.285714
124.000000,1.000000,0.166667,0.285714
125.000000,1.000000,0.166667,0.285714
126.000000,0.990000,0.166667,0.285000
127.000000,1.000000,0.166667,0.285714
128.000000,0.990000,0.166667,0.285000
129.000000,1.000000,0.166667,0.285714
130.000000,0.990000,0.166667,0.285000
131.000000,0.990000,0.166667,0.285000
132.000000,1.000000,0.166667,0.285714
133.000000,1.000000,0.170000,0.290000
134.000000,0.990000,0.173333,0.293571
135.000000,1.000000,0.166667,0.285714
136.000000,1.000000,0.170000,0.290000
137.000000,1.000000,0.170000,0.290000
138.000000,0.990000,0.166667,0.285000
139.000000,0.990000,0.170000,0.289286
140.000000,0.990000,0.166667,0.285000
141.000000,0.990000,0.166667,0.285000
142.000000,0.990000,0.166667,0.285000
143.000000,0.960000,0.166667,0.282857
144.000000,0.960000,0.166667,0.282857
145.000000,0.990000,0.170000,0.289286
146.000000,1.000000,0.170000,0.290000
147.000000,1.000000,0.166667,0.285714
148.000000,0.980000,0.170000,0.288571
149.000000,0.980000,0.166667,0.284286
150.000000,0.990000,0.170000,0.289286
151.000000,0.980000,0.166667,0.284286
152.000000,0.980000,0.166667,0.284286
153.000000,0.980000,0.166667,0.284286
154.000000,0.980000,0.166667,0.284286
155.000000,0.990000,0.173333,0.293571
156.000000,0.970000,0.170000,0.287857
157.000000,0.990000,0.170000,0.289286
158.000000,1.000000,0.166667,0.285714
159.000000,0.990000,0.173333,0.293571
160.000000,0.990000,0.166667,0.285000
161.000000,0.990000,0.176667,0.297857
162.000000,0.980000,0.176667,0.297143
163.000000,0.980000,0.170000,0.288571
164.000000,0.980000,0.176667,0.297143
165.000000,0.970000,0.170000,0.287857
166.000000,0.990000,0.166667,0.285000
167.000000,0.990000,0.173333,0.293571
168.000000,0.980000,0.173333,0.292857
169.000000,0.980000,0.166667,0.284286
170.000000,0.980000,0.170000,0.288571
171.000000,0.970000,0.173333,0.292143
172.000000,0.980000,0.173333,0.292857
173.000000,0.990000,0.176667,0.297857
173.000000,0.980000,0.166667,0.284286
174.000000,0.980000,0.173333,0.292857
175.000000,0.970000,0.176667,0.296429
176.000000,1.000000,0.176667,0.298571
177.000000,0.970000,0.166667,0.283571
178.000000,1.000000,0.170000,0.290000
179.000000,0.960000,0.170000,0.287143
180.000000,0.950000,0.173333,0.290714
181.000000,0.950000,0.170000,0.286429
182.000000,1.000000,0.180000,0.302857
183.000000,0.990000,0.166667,0.285000
184.000000,0.960000,0.180000,0.300000
185.000000,0.940000,0.173333,0.290000
186.000000,0.963333,0.173333,0.291032
187.000000,0.970000,0.173333,0.292143
188.000000,0.960000,0.183333,0.304286
189.000000,0.960000,0.176667,0.295714
190.000000,0.960000,0.176667,0.295714
191.000000,0.940000,0.183333,0.302857
192.000000,0.950000,0.186667,0.307857
193.000000,0.990000,0.176667,0.297857
194.000000,0.980000,0.183333,0.305714
195.000000,0.960000,0.180000,0.300000
196.000000,0.950000,0.176667,0.295000
197.000000,0.970000,0.183333,0.305000
198.000000,0.950000,0.173333,0.290714
199.000000,0.970000,0.183333,0.305000
200.000000,0.930000,0.173333,0.289286
201.000000,0.980000,0.190000,0.314286
202.000000,0.970000,0.176667,0.296429
203.000000,0.930000,0.176667,0.293571
204.000000,0.980000,0.176667,0.297143
205.000000,0.970000,0.173333,0.292143
206.000000,0.970000,0.180000,0.300714
207.000000,0.970000,0.183333,0.305000
208.000000,0.980000,0.193333,0.318571
209.000000,0.980000,0.193333,0.318571
210.000000,0.980000,0.190000,0.314286
211.000000,0.960000,0.180000,0.300000
212.000000,0.940000,0.186667,0.307143
213.000000,0.950000,0.186667,0.307857
214.000000,0.950000,0.173333,0.290714
215.000000,0.980000,0.196667,0.322857
216.000000,0.930000,0.190000,0.310714
217.000000,0.950000,0.176667,0.295000
218.000000,0.940000,0.186667,0.307143
219.000000,0.980000,0.190000,0.314286
220.000000,0.930000,0.186667,0.306429
221.000000,0.920000,0.186667,0.305714
222.000000,0.970000,0.190000,0.313571
223.000000,0.980000,0.186667,0.310000
224.000000,0.930000,0.193333,0.315000
225.000000,0.930000,0.173333,0.289286
226.000000,0.960000,0.193333,0.317143
227.000000,0.960000,0.190000,0.312857
227.000000,0.970000,0.203333,0.330714
228.000000,0.940000,0.183333,0.302857
229.000000,0.930000,0.193333,0.315000
230.000000,0.930000,0.186667,0.306429
231.000000,0.950000,0.200000,0.325000
232.000000,0.923333,0.206667,0.331032
233.000000,0.950000,0.183333,0.303571
234.000000,0.960000,0.196667,0.321429
235.000000,0.910000,0.176667,0.292143
236.000000,0.970000,0.210000,0.339286
237.000000,0.940000,0.183333,0.302857
238.000000,0.930000,0.200000,0.323571
239.000000,0.950000,0.200000,0.325000
240.000000,0.940000,0.190000,0.311429
241.000000,0.940000,0.186667,0.307143
242.000000,0.930000,0.203333,0.327857
243.000000,0.960000,0.196667,0.321429
244.000000,0.900000,0.193333,0.312857
245.000000,0.930000,0.196667,0.319286
246.000000,0.890000,0.196667,0.316429
247.000000,0.900000,0.210000,0.334286
248.000000,0.900000,0.183333,0.300000
249.000000,0.950000,0.216667,0.346429
250.000000,0.960000,0.196667,0.321429
251.000000,0.926667,0.216667,0.344444
252.000000,0.890000,0.193333,0.312143
253.000000,0.910000,0.216667,0.343571
254.000000,0.940000,0.210000,0.337143
255.000000,0.920000,0.216667,0.344286
256.000000,0.890000,0.213333,0.337857
257.000000,0.930000,0.226667,0.357857
258.000000,0.930000,0.213333,0.340714
259.000000,0.930000,0.230000,0.362143
260.000000,0.900000,0.183333,0.300000
261.000000,0.940000,0.203333,0.328571
262.000000,0.920000,0.200000,0.322857
263.000000,0.900000,0.226667,0.355714
264.000000,0.950000,0.230000,0.363571
265.000000,0.900000,0.223333,0.350476
266.000000,0.940000,0.216667,0.345714
267.000000,0.910000,0.213333,0.339286
268.000000,0.900000,0.196667,0.317143
269.000000,0.950000,0.216667,0.346429
270.000000,0.846667,0.206667,0.325873
271.000000,0.930000,0.213333,0.340714
272.000000,0.903333,0.206667,0.329603
273.000000,0.950000,0.213333,0.342143
274.000000,0.870000,0.223333,0.349286
275.000000,0.900000,0.206667,0.330000
276.000000,0.913333,0.213333,0.338889
277.000000,0.940000,0.220000,0.350000
278.000000,0.896667,0.210000,0.333730
279.000000,0.870000,0.200000,0.319286
280.000000,0.940000,0.226667,0.358571
281.000000,0.870000,0.213333,0.336429
282.000000,0.913333,0.226667,0.356032
282.000000,0.920000,0.206667,0.331429
283.000000,0.893333,0.226667,0.354603
284.000000,0.903333,0.230000,0.359603
285.000000,0.900000,0.216667,0.342857
286.000000,0.903333,0.210000,0.333889
287.000000,0.906667,0.243333,0.377302
288.000000,0.880000,0.220000,0.345714
289.000000,0.920000,0.243333,0.377619
290.000000,0.940000,0.236667,0.371429
291.000000,0.856667,0.233333,0.360873
292.000000,0.866667,0.250000,0.383016
293.000000,0.950000,0.243333,0.380714
294.000000,0.906667,0.223333,0.351587
295.000000,0.933333,0.243333,0.378889
296.000000,0.873333,0.223333,0.348889
297.000000,0.873333,0.230000,0.357460
298.000000,0.826667,0.206667,0.323492
299.000000,0.900000,0.246667,0.381429
300.000000,0.920000,0.246667,0.382857
301.000000,0.886667,0.233333,0.362063
302.000000,0.910000,0.223333,0.351190
303.000000,0.933333,0.243333,0.378889
304.000000,0.950000,0.240000,0.376429
305.000000,0.903333,0.243333,0.376746
306.000000,0.896667,0.233333,0.363730
307.000000,0.886667,0.243333,0.375873
308.000000,0.916667,0.236667,0.368492
309.000000,0.886667,0.236667,0.367302
310.000000,0.906667,0.256667,0.394444
311.000000,0.900000,0.250000,0.385714
312.000000,0.913333,0.250000,0.386032
313.000000,0.910000,0.253333,0.390714
314.000000,0.893333,0.253333,0.388889
315.000000,0.893333,0.246667,0.380317
316.000000,0.860000,0.246667,0.376667
317.000000,0.870000,0.240000,0.369762
318.000000,0.870000,0.256667,0.390238
319.000000,0.850000,0.246667,0.376905
320.000000,0.893333,0.253333,0.388889
321.000000,0.886667,0.226667,0.354444
322.000000,0.906667,0.266667,0.407302
323.000000,0.860000,0.263333,0.398095
324.000000,0.896667,0.246667,0.379921
325.000000,0.863333,0.233333,0.361032
326.000000,0.906667,0.250000,0.384921
327.000000,0.866667,0.260000,0.395873
328.000000,0.900000,0.250000,0.385714
329.000000,0.890000,0.266667,0.406429
330.000000,0.840000,0.243333,0.371905
331.000000,0.933333,0.273333,0.417460
332.000000,0.883333,0.243333,0.375317
333.000000,0.880000,0.260000,0.396190
334.000000,0.940000,0.276667,0.421905
335.000000,0.860000,0.233333,0.361429
336.000000,0.843333,0.256667,0.389603
336.000000,0.896667,0.256667,0.393730
337.000000,0.886667,0.270000,0.409206
338.000000,0.843333,0.250000,0.380079
339.000000,0.886667,0.273333,0.412540
340.000000,0.916667,0.283333,0.429444
341.000000,0.906667,0.273333,0.413968
342.000000,0.830000,0.250000,0.378810
343.000000,0.873333,0.276667,0.416508
344.000000,0.893333,0.256667,0.392222
345.000000,0.853333,0.243333,0.372222
346.000000,0.916667,0.280000,0.425159
347.000000,0.893333,0.266667,0.406032
348.000000,0.920000,0.256667,0.394762
